id,deviceid_port,calibrating_data
450,2,"[{""input_value"": 500, ""output_value"": 0}, {""input_value"": 516, ""output_value"": 10}, {""input_value"": 579, ""output_value"": 30}, {""input_value"": 643, ""output_value"": 50}, {""input_value"": 706, ""output_value"": 70}, {""input_value"": 770, ""output_value"": 90}, {""input_value"": 832, ""output_value"": 110}, {""input_value"": 908, ""output_value"": 130}, {""input_value"": 989, ""output_value"": 150}, {""input_value"": 1072, ""output_value"": 170}, {""input_value"": 1159, ""output_value"": 190}, {""input_value"": 1249, ""output_value"": 210}, {""input_value"": 1343, ""output_value"": 230}, {""input_value"": 1439, ""output_value"": 250}, {""input_value"": 1539, ""output_value"": 270}, {""input_value"": 1647, ""output_value"": 290}, {""input_value"": 1757, ""output_value"": 310}, {""input_value"": 1875, ""output_value"": 330}]"
537,3,"[{""input_value"": 1, ""output_value"": 0}, {""input_value"": 191, ""output_value"": 5}, {""input_value"": 505, ""output_value"": 10}, {""input_value"": 781, ""output_value"": 15}, {""input_value"": 1049, ""output_value"": 20}, {""input_value"": 1318, ""output_value"": 25}, {""input_value"": 1573, ""output_value"": 30}, {""input_value"": 1801, ""output_value"": 35}, {""input_value"": 2101, ""output_value"": 41}, {""input_value"": 2303, ""output_value"": 45}, {""input_value"": 2551, ""output_value"": 50}, {""input_value"": 2811, ""output_value"": 55}, {""input_value"": 3061, ""output_value"": 60}, {""input_value"": 3318, ""output_value"": 65}, {""input_value"": 3551, ""output_value"": 70}, {""input_value"": 3822, ""output_value"": 75}, {""input_value"": 4074, ""output_value"": 80}, {""input_value"": 4095, ""output_value"": 83}]"
